Latitude,Longitude
26.90091,85.17712
26.90061,85.17745
26.84765,85.23834
26.84766,85.23835
26.84724,85.23818
26.8469,85.23798
26.84677,85.23779
26.84667,85.23767
26.84611,85.23739
26.84612,85.23739
26.84573,85.2372
26.84539,85.23704
26.84539,85.23652
26.8454,85.23605
26.84542,85.23545
26.84539,85.23488
26.84527,85.23443
26.84514,85.23422
26.84499,85.23377
26.84498,85.23331
26.84493,85.23299
26.84485,85.23269
26.84485,85.23238
26.84475,85.23194
26.84465,85.23142
26.84456,85.23092
26.84455,85.23054
26.84461,85.23017
26.84423,85.23007
26.8439,85.2302
26.84348,85.23012
26.84322,85.22997
26.84278,85.22994
26.84234,85.23014
26.84197,85.23033
